latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
9.05529,-1.00904,301.72,1.05,1.02,2021-12-31,0149,A,44,6.1NRT,289.47,5.8,N
9.3929,-4.30642,323.39,1.11,1.05,2021-12-31,0149,A,100,6.1NRT,290.68,26.1,N
9.39147,-4.29645,303.11,1.11,1.05,2021-12-31,0149,A,53,6.1NRT,289.84,7.21,N
9.3835,-4.30777,315.8,1.11,1.05,2021-12-31,0149,A,92,6.1NRT,289.12,17.42,N
8.92881,-1.95025,302.63,1.01,1,2021-12-31,0149,A,50,6.1NRT,289.46,5.53,N
9.17883,-4.0973,304.14,1.08,1.04,2021-12-31,0149,A,59,6.1NRT,291.31,6.95,N
9.03517,-3.23305,301.16,1.02,1.01,2021-12-31,0149,A,38,6.1NRT,289.53,5.07,N
8.75711,-3.47951,315.38,1.03,1.01,2021-12-31,0149,A,91,6.1NRT,288.61,15.07,N
8.56557,-2.35726,300.32,1,1,2021-12-31,0149,A,20,6.1NRT,289.2,3.95,N
8.33323,-1.35516,311.95,1.04,1.02,2021-12-31,0151,A,84,6.1NRT,289.82,12.54,N
8.33183,-1.34583,312.64,1.04,1.02,2021-12-31,0151,A,85,6.1NRT,289.62,13.29,N
8.39138,-1.99293,301.45,1.01,1,2021-12-31,0151,A,41,6.1NRT,291.4,4.68,N
3.46584,5.57599,306.85,3.66,1.79,2021-12-31,0151,A,49,6.1NRT,285.63,44.1,N
4.59924,-2.88778,311.62,1.01,1,2021-12-31,0151,A,76,6.1NRT,293.31,7.36,N
4.59012,-3.1358,308.28,1,1,2021-12-31,0151,A,60,6.1NRT,293.31,4.99,N
8.6868,-63.15034,307.89,1.82,1.32,2021-12-31,0210,T,73,6.1NRT,289,17.01,N
8.68431,-63.16661,302.61,1.82,1.32,2021-12-31,0210,T,43,6.1NRT,288.32,9.36,N
8.68146,-63.15586,309.18,1.82,1.32,2021-12-31,0210,T,77,6.1NRT,288.68,20.15,N
9.56164,-63.63263,300.89,1.91,1.35,2021-12-31,0210,T,35,6.1NRT,287.61,13.08,N
9.65575,-63.61919,304.52,1.9,1.35,2021-12-31,0210,T,58,6.1NRT,285.29,19.48,N
9.653,-63.63634,300.18,1.9,1.35,2021-12-31,0210,T,13,6.1NRT,283.41,13.69,N
9.72973,-63.46029,310.12,1.84,1.33,2021-12-31,0210,T,79,6.1NRT,288.94,23.55,N
9.77162,-63.2678,303.11,1.78,1.31,2021-12-31,0210,T,53,6.1NRT,290.09,10.44,N
9.72383,-63.46562,309.16,1.84,1.33,2021-12-31,0210,T,77,6.1NRT,288.67,22.12,N
9.77891,-63.27511,302.48,1.78,1.31,2021-12-31,0210,T,49,6.1NRT,289.73,10.74,N
40.54332,123.47523,319.39,1.06,1.03,2021-12-31,0245,T,75,6.1NRT,269.78,23.41,D
38.91506,114.81461,310.2,1.67,1.27,2021-12-31,0247,T,70,6.1NRT,277.75,25.7,D
38.90371,114.81258,309.63,1.67,1.27,2021-12-31,0247,T,69,6.1NRT,277.55,24.89,D
31.0113,120.96822,301.88,1.1,1.05,2021-12-31,0249,T,37,6.1NRT,280.31,8.7,D
5.82333,114.34295,323.93,1.06,1.03,2021-12-31,0255,T,77,6.1NRT,285.06,20.21,D
-6.96059,110.45844,318.84,1,1,2021-12-31,0300,T,55,6.1NRT,291.66,6.42,D
-7.22331,110.4292,316.8,1,1,2021-12-31,0300,T,67,6.1NRT,293.06,8.56,D
-7.82993,113.15009,309.12,1.27,1.12,2021-12-31,0300,T,60,6.1NRT,278.22,7.43,D
24.7395,117.46614,308.88,1,1,2021-12-31,0249,T,68,6.1NRT,286.46,9.99,D
24.73805,117.47584,312.81,1,1,2021-12-31,0249,T,73,6.1NRT,285.64,12.92,D
24.36417,117.38593,318,1,1,2021-12-31,0249,T,78,6.1NRT,291.04,15.48,D
24.35389,117.38807,311.24,1,1,2021-12-31,0249,T,71,6.1NRT,289.32,10.78,D
24.55852,115.90361,302.5,1.03,1.02,2021-12-31,0249,T,51,6.1NRT,287.98,5.14,D
24.08404,117.34224,301.76,1,1,2021-12-31,0249,T,22,6.1NRT,289.36,4.35,D
